Classification,Centroid X µm,Centroid Y µm
Iba1,349.31,176.79
SOX2,364.36,175.1
SOX2: Ki67,316.97,176.51
SOX2,328.48,177.38
SOX2: Ki67,48.62,179.12
SOX2,212.46,178.04
Neither,374.11,174.8
SOX2,155.83,179.8
SOX2,183.13,179.83
SOX2,371.88,180.12
Iba1,400.13,180.03
SOX2,133.85,183.77
SOX2,233.79,179.8
SOX2,239.56,181.83
SOX2,274.22,183.48
Neither,112.86,180.55
SOX2,248.43,184.03
Neither,439.18,183.45
SOX2,222.05,184.1
SOX2,285.1,187.23
Iba1,363.1,183.77
SOX2,185.96,183.37
SOX2,231.44,182.86
Neither,345.1,185.2
Iba1,192.81,186.8
Neither,315.7,185.83
Iba1,200.42,185.73
SOX2,256.45,186.93
SOX2,407.05,186.79
SOX2,231.5,190.05
Iba1,395.59,187.64
SOX2,264.94,188.06
SOX2,110.26,188.01
Iba1,242.93,191.64
SOX2,185.61,189.38
Iba1,81.37,191.89
SOX2,223.28,191.34
Neither,337.12,190.31
Neither,213.55,192.2
Iba1,384.33,191.81
Neither,364.49,193.35
SOX2,293.85,192.89
Neither,204.32,193.28
Neither,166.09,194.1
SOX2: Ki67,412.38,194.41
Iba1: Ki67,1.629,197.57
Iba1,238.48,195.77
SOX2,109.35,195.87
SOX2: Ki67,135.34,192.35
SOX2: Ki67,6.985,197.06
Iba1: Ki67,25.2,195.09
SOX2,193.87,195.58
SOX2,150.03,197.15
SOX2,276.38,196.85
Iba1,218.04,198.65
SOX2: Ki67,258.87,198.2
SOX2,267.65,197.83
Neither,353.31,197.02
Neither,40.3,197.43
SOX2,63.98,197.94
SOX2: Ki67,132.12,198.16
SOX2: Ki67,20.75,199.79
SOX2: Ki67,14.37,198.11
Neither,229.15,199.35
Neither,435.82,200.86
SOX2,105.39,203.51
Neither,204.78,202.55
SOX2,188.79,203.62
SOX2: Ki67,53.84,205.68
SOX2,237.63,203.31
SOX2,227.02,205.74
SOX2,277.22,207.47
SOX2: Ki67,13.53,205.98
Iba1,122.95,207.9
Neither,43.52,206.53
Neither,137.27,209.48
SOX2: Ki67,236.72,212.98
Iba1: Ki67,4.773,210.27
Neither,150.3,208.27
Iba1,157.05,210.65
SOX2,264.43,209.82
SOX2,212.28,212.36
SOX2: Ki67,318.49,211.49
Neither,168.23,213.41
Neither,224.59,211.82
SOX2,293.35,213.35
SOX2,70.68,215.81
SOX2,309.67,215.68
SOX2,192.61,217.89
Neither,255.8,215.38
Neither,107.14,216.23
SOX2,228.59,217.93
Iba1,119.15,221.18
SOX2,337.91,220.19
SOX2,55.89,220.06
SOX2,272.26,220.97
SOX2,352.23,221.13
SOX2,287.66,223.11
SOX2,218.39,222
SOX2,178.52,224.56
Neither,306.92,223.77
SOX2,250.77,224.81
Neither,90.89,223.75
Iba1,128.86,225.82
Neither,232.65,225.05
SOX2,268.13,226.04
SOX2,260.29,226.62
SOX2,319.17,228.31
Iba1,9.374,226.43
SOX2,239.7,230.14
SOX2,264.6,228.6
SOX2: Ki67,3.471,229.59
Iba1,87.68,231.66
Neither,378.57,230.89
Neither,135.96,229.77
SOX2: Ki67,18.04,230.12
SOX2,220.68,230.18
SOX2,228.58,232.36
Neither,79.83,230.72
Neither,108.39,232.63
Neither,146.51,230.97
SOX2,160.75,232.2
Neither,116,232.66
SOX2,269.99,234.51
SOX2,35.55,236.32
Iba1,65.39,234.02
Neither,153.22,234.34
SOX2: Ki67,10.93,235.57
Neither,184.59,234.57
Neither,249.91,235.6
SOX2,219.31,238.67
Neither,133.95,239.02
SOX2,144.95,240.44
Neither: Ki67,364.75,236.49
Neither,165.87,239.51
SOX2: Ki67,3.664,240.37
SOX2,80.49,239.84
Neither: Ki67,359.5,241.32
Neither,371.91,242.78
SOX2,196.13,241.45
SOX2,226.32,241.66
SOX2,239.28,241
SOX2,284.72,242.06
Iba1,57.58,241.91
SOX2,231.36,241.79
Neither,329.58,242.55
Neither: Ki67,365.82,241.84
Neither,160.15,243.77
Iba1,152.98,242.84
SOX2,204.97,244.51
Iba1,110.53,244.62
Iba1,346.47,246.34
SOX2,271.95,248.38
SOX2,316.38,248.19
Iba1,132.72,247.81
SOX2,152.25,251.01
Neither,60.84,250.05
Neither,118.43,249.51
Iba1,80.07,248.25
SOX2,143.22,249.98
Iba1,234.06,249.24
Neither,68.74,249.46
SOX2,307.62,250.63
Iba1,7.893,250.92
Neither,109.03,252.24
Iba1,184.07,248.91
SOX2,74.22,253.42
SOX2,281.69,254.6
SOX2,178.08,255.37
Iba1,218.28,253.43
SOX2,250.01,253.52
Neither,138.11,255.08
SOX2,242.26,254.08
Iba1,85.2,255.29
Neither,204.15,255.53
Iba1,209.67,255.03
Iba1,188.17,255.4
Iba1,298.6,255.62
Neither,231.29,255.31
Iba1,260.62,255.07
Neither,11.21,258.02
Iba1,311.69,257.21
SOX2,51.52,258.42
SOX2,192.17,261.37
SOX2: Ki67,291.53,262.32
Iba1,111.31,261.06
SOX2,227.07,260.17
SOX2,235.02,262.26
SOX2,260.92,263.15
Neither,129.38,262.16
SOX2,89.8,263.28
SOX2,242.55,263.6
SOX2,165.35,263.37
Iba1,214.7,261.3
Neither,171.89,263.19
Iba1,223.35,264.79
Neither,318.66,264.64
Iba1,52.52,265.8
Iba1,183.27,264.09
SOX2,139.06,266.45
SOX2,177.39,268.33
SOX2,307.11,267.8
Neither,208.27,266.4
Iba1,216.51,267.18
SOX2,272.58,267.74
Neither,187.5,269.67
SOX2,257.86,270.72
Neither,347.65,268.82
SOX2,283.41,269.97
Neither,357.56,270.6
Neither,93.79,269.28
SOX2,121.52,271.05
SOX2,337.95,270.71
Iba1,53.38,271.93
SOX2,129.74,273.15
SOX2,163.75,272.8
Iba1,171.76,274.72
Iba1,221.65,274.11
Iba1,345.5,275.79
SOX2,143.74,273.53
Neither,94.73,276.35
Neither,251.35,274.55
SOX2,271.02,274.73
Neither,85.55,274.59
SOX2,148.73,277.46
SOX2,23.61,275.86
SOX2,30.47,277.25
