Classification,Parent,Centroid X µm,Centroid Y µm
,Annotation,1096,536.16
,Annotation,877.38,537.01
,Annotation,1105.2,538.51
,Annotation,948.85,540.56
PanCK,Annotation,1077.9,546.79
,Annotation,767.29,544.01
,Annotation,1089.6,540.92
,Annotation,905.4,548.82
,Annotation,975.84,544.32
,Annotation,811.44,544.4
,Annotation,877.48,547.5
,Annotation,1111.2,543.74
,Annotation,913.93,547.81
,Annotation,758.09,546.51
,Annotation,961.48,548.26
,Annotation,1116.8,548.43
,Annotation,790.81,551.08
,Annotation,998.73,549.73
,Annotation,1102.7,549.51
,Annotation,1094.4,551.15
,Annotation,952.34,549.26
,Annotation,872.26,554.83
,Annotation,981.24,552.09
,Annotation,761.12,553.43
,Annotation,969.16,554.67
,Annotation,771.49,555.67
,Annotation,822.09,553.11
,Annotation,955.04,556.68
,Annotation,765.4,557.83
,Annotation,798.52,559.6
,Annotation,823.8,561.24
,Annotation,941.46,560.59
,Annotation,986.77,561.47
,Annotation,881.77,562.88
,Annotation,1100.2,559.66
PanCK,Annotation,1007.6,561.61
,Annotation,978.2,561.44
,Annotation,963.51,562.28
,Annotation,1106.2,562.8
,Annotation,1135.3,560.24
,Annotation,779.34,567.04
,Annotation,813.93,563.54
,Annotation,955.26,565.22
,Annotation,906.79,571.68
,Annotation,993.95,565.5
,Annotation,1097.4,568.46
,Annotation,876.65,588.04
,Annotation,1120.7,569.92
,Annotation,1111.3,572.31
CD3: CD8,Annotation,983.08,573.73
,Annotation,967,574.75
,Annotation,1128.5,574.09
CD3,Annotation,976.63,575.23
,Annotation,885.8,576.11
PanCK,Annotation,1001.6,578.68
,Annotation,1104.5,581.34
,Annotation,756.19,577.55
,Annotation,869.45,582.47
,Annotation,1113.3,580.83
PanCK,Annotation,943.86,582.28
,Annotation,956.22,582.79
,Annotation,970.4,585.43
,Annotation,982.62,583.05
,Annotation,762.17,585.21
,Annotation,992.5,585.2
,Annotation,1132.7,585.35
,Annotation,984.53,590.33
,Annotation,1147.3,589.05
,Annotation,1120.1,589.18
,Annotation,1140.3,589.05
,Annotation,817.48,589.39
,Annotation,796,593.31
,Annotation,954.58,593.23
,Annotation,962.86,596.15
,Annotation,1126.7,596.38
,Annotation,820.7,597.57
,Annotation,1032,594.86
,Annotation,987.08,598.08
,Annotation,1005.7,599.52
,Annotation,858.75,598.25
,Annotation,1038.5,598.27
,Annotation,957.62,609.47
,Annotation,996.35,602.6
PanCK,Annotation,1030.7,604.14
,Annotation,886.65,601.74
,Annotation,757.33,603.11
,Annotation,797.49,604.95
,Annotation,1046.6,603.23
,Annotation,822.94,605.83
,Annotation,864.1,604.06
,Annotation,881.22,605.59
,Annotation,897.01,606.87
,Annotation,1134,605.53
,Annotation,869.94,607.63
,Annotation,980.28,605.3
,Annotation,815.61,609.98
,Annotation,990.52,610.66
,Annotation,1157.4,607.55
,Annotation,1053.7,609.3
,Annotation,756.41,609.92
,Annotation,1014.4,610.67
,Annotation,980.41,612.68
,Annotation,797.2,613.69
,Annotation,828.56,625.24
,Annotation,865.56,621.26
,Annotation,900.16,613.88
,Annotation,810.39,628.05
,Annotation,757.64,619.81
,Annotation,903.47,625.6
,Annotation,778.9,619.41
,Annotation,896.33,620.79
,Annotation,983.89,621.76
,Annotation,1005.8,622.23
,Annotation,998.61,624.79
,Annotation,769.48,624.95
,Annotation,1041.8,625.33
,Annotation,760,630.43
,Annotation,860.79,638.39
,Annotation,1001.4,641.57
,Annotation,1109,641.55
,Annotation,796.34,643.96
,Annotation,979.9,647.54
PanCK,Annotation,917.82,649.85
,Annotation,784.21,649.8
,Annotation,861.31,649.64
,Annotation,867.59,652.24
PanCK,Annotation,1012,653.77
,Annotation,986.51,656.05
,Annotation,972.81,659.6
,Annotation,878.25,657.75
,Annotation,790.55,658.16
PanCK,Annotation,772.44,661.19
,Annotation,780.5,659.68
,Annotation,842.82,659.45
,Annotation,764.03,661.75
,Annotation,833.14,662.15
,Annotation,990.44,664.55
,Annotation,1149.7,665.52
,Annotation,993.84,671.71
,Annotation,889.36,672.44
,Annotation,1202.3,6.233
,Annotation,1288.3,4.07
,Annotation,1328.5,3.675
,Annotation,1394.1,4.717
,Annotation,1425.5,4.971
,Annotation,1443.1,2.89
,Annotation,1546.2,3.519
,Annotation,1281,6.202
,Annotation,1336,5.225
,Annotation,1469.3,7.87
,Annotation,1185.5,5.133
